Tên công ty,Số lượng đăng ký tối đa,Số sinh viên chấp nhận tối đa,Số lượng sinh viên đã đăng ký,Số lượng sinh viên đã được chấp nhận,Ngôn ngữ / Framework
PHÒNG THÍ NGHIỆM NGHIÊN CỨU VỀ NƯỚC KHU VỰC CHÂU Á (CARE), 3, 1, 0, 1,"[python], []"
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ DAI-ICHI VIỆT NAM, 39, 13, 3, 8,"spring boot], [], [java, reactjs"
CÔNG TY CỔ PHẦN CÔNG NGHỆ SWANTECH (ST), 1, 1, 0, 1,"html, css, js, postgresql, nodejs, nextjs, mongodb, expressjs, bun], mysql, [reactjs, ts"
CÔNG TY TNHH GGJUNGLE, 1, 1, 0, 1,"css3, javascript, [react, websocket], html5, aws ivs sdk"
COMPREDEV SOLUTIONS COMPANY LIMITED, 1, 1, 0, 1,[]
CÔNG TY TNHH INOVAETION, 1, 1, 0, 1,"CSS3, Javascript, AngularJS, jQuery, [HTML5, Bootstrap, Nodejs, ActionHero, MongoDB]"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA, 60, 20, 2, 10,"Heroku], JavaScript, bootstrap, [], git, laravel, composer, javascript, Bootstrap, VSCode, Laravel, Composer, heroku], [PHP, vscode, tailwind css, Git, Composer], Tailwind CSS, [php"
CÔNG TY TNHH RAINSCALES VIỆT NAM, 1, 1, 0, 1,[python]
EXCELLENT NODES COMPANY LIMITED, 1, 1, 0, 1,"docker], git, python, express.js, [react, mongodb, node.js, tailwindcss, postman, github, figma"
"PNH CO., LTD. (NHẬT BẢN)", 1, 1, 0, 1,"AdonisJS, ExpressJS, [PHP, React.js], Node.js"
